Number of Vertices,Dynamic Programming (Time),Nearest Neighbor (Error),Nearest Neighbor (Time),Nearest Neighbor (Std Dev),Genetic Algorithm (Error),Genetic Algorithm (Time),Genetic Algorithm (Std Dev),Simulated Annealing (Error),Simulated Annealing (Time),Simulated Annealing (Std Dev),Branch and Bound (Error),Branch and Bound (Time),Branch and Bound (Std Dev),Google OR-Tools (Error),Google OR-Tools (Time),Google OR-Tools (Std Dev),Ant Colony Optimization (Error),Ant Colony Optimization (Time),Ant Colony Optimization (Std Dev),Christofides' Algorithm (Error),Christofides' Algorithm (Time),Christofides' Algorithm (Std Dev)
5,6.973743438720703e-05,0.09229892912900277,1.10626220703125e-05,0.15488676641068155,0.0,0.4847461700439453,0.0,0.0,0.6062397003173828,0.0,0.006766917293233083,0.00019507408142089845,0.02030075187969925,0.0,0.0024678707122802734,0.0,0.0,0.01846911907196045,0.0,0.016423141763030648,0.0007797718048095703,0.02635895128268982
6,0.00012640953063964845,0.17677615512631983,1.0848045349121094e-05,0.23789215030391925,0.0,0.39752180576324464,0.0,0.0,0.484861946105957,0.0,0.0036036036036036037,0.00036089420318603517,0.010810810810810811,0.0,0.0015807390213012696,0.0,0.007000000000000001,0.022935318946838378,0.021000000000000005,0.2153568719025658,0.0007199764251708985,0.26194822164375187
7,0.000335693359375,0.14589097802375658,2.0742416381835938e-05,0.20360606385769991,0.0,0.4073838233947754,0.0,0.0,0.5629394054412842,0.0,0.0,0.0009564876556396485,0.0,0.0,0.0018871068954467774,0.0,0.002839076421933382,0.03675899505615234,0.005849825041210294,0.18043947213183006,0.0008851528167724609,0.1252070059452799
8,0.0007139444351196289,0.278528065857832,1.9621849060058593e-05,0.20577833082261096,0.0,0.4186491250991821,0.0,0.0,0.626763892173767,0.0,0.0,0.0031169891357421876,0.0,0.011046511627906977,0.0018144607543945312,0.03313953488372093,0.0055900621118012426,0.04718868732452393,0.01677018633540373,0.301414466624331,0.0009040355682373047,0.19995498100050904
9,0.0016907453536987305,0.33350969650431744,1.8310546875e-05,0.2226748510538208,0.0,0.41011092662811277,0.0,0.013006832148865314,0.6881072998046875,0.02325279168378849,0.0022058823529411764,0.005227231979370117,0.00661764705882353,0.029985240162261322,0.0018196582794189453,0.07150704435977419,0.01754049445865303,0.06182961463928223,0.035736807417800255,0.344213472144022,0.000902867317199707,0.2152447987726936
10,0.0043477296829223635,0.2802743905519958,2.2530555725097656e-05,0.23223837135157574,0.00042016806722689073,0.4239851951599121,0.0012605042016806721,0.04676642231535589,0.832203459739685,0.0741879577816425,0.0008695652173913044,0.024342608451843262,0.0026086956521739132,0.02898149642647315,0.0021497488021850588,0.04426231622508458,0.001337599259887441,0.0871304988861084,0.0028970744208228374,0.4116129932616236,0.001449918746948242,0.18448498106184755
11,0.012242984771728516,0.30168083151198866,3.411769866943359e-05,0.21500361288408143,0.029617911888232807,0.485059118270874,0.0341218013015267,0.049491948680311496,0.9683542490005493,0.051561062741949305,0.001142857142857143,0.07190506458282471,0.0034285714285714284,0.018885787175864307,0.002985501289367676,0.027567229904158136,0.04493418056121065,0.13868823051452636,0.0476234015260256,0.4137910750716193,0.001501917839050293,0.24359549997809685
12,0.028360414505004882,0.329721613815383,3.714561462402344e-05,0.19698902285103706,0.03673435654102893,0.45260300636291506,0.05759274399044607,0.14575109964027586,0.9711897373199463,0.12357861081480215,0.002633629421848216,0.13602986335754394,0.0064533629984194225,0.015968567116934743,0.002909350395202637,0.033887671304318745,0.002150537634408602,0.14478979110717774,0.006451612903225807,0.36084232588790793,0.0013893842697143555,0.29561391674957266
