Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 3,300,4000,"(1, 5, 1, 1)",0.0050,1.0112
Scenario 4,300,4000,"(1, 1, 5, 1)",0.0051,1.0322
Scenario 5,300,4000,"(1, 1, 1, 5)",0.0065,0.9977
Scenario 1,300,5000,"(1, 1, 1, 1)",0.0085,1.8421
Scenario 2,300,5000,"(5, 1, 1, 1)",0.0153,4.0523
Scenario 3,300,5000,"(1, 5, 1, 1)",0.0063,1.3443
Scenario 4,300,5000,"(1, 1, 5, 1)",0.0052,1.2760
Scenario 5,300,5000,"(1, 1, 1, 5)",0.0097,1.3979
Scenario 1,400,10,"(1, 1, 1, 1)",0.0000,0.0031
Scenario 2,400,10,"(5, 1, 1, 1)",0.0000,0.0039
Scenario 3,400,10,"(1, 5, 1, 1)",0.0000,0.0034
Scenario 4,400,10,"(1, 1, 5, 1)",0.0000,0.0035
Scenario 5,400,10,"(1, 1, 1, 5)",0.0000,0.0032
Scenario 1,400,50,"(1, 1, 1, 1)",0.0002,0.0195
Scenario 2,400,50,"(5, 1, 1, 1)",0.0002,0.0265
Scenario 3,400,50,"(1, 5, 1, 1)",0.0001,0.0199
Scenario 4,400,50,"(1, 1, 5, 1)",0.0001,0.0197
Scenario 5,400,50,"(1, 1, 1, 5)",0.0001,0.0168
Scenario 1,400,100,"(1, 1, 1, 1)",0.0002,0.0380
Scenario 2,400,100,"(5, 1, 1, 1)",0.0003,0.0347
Scenario 3,400,100,"(1, 5, 1, 1)",0.0001,0.0360
Scenario 4,400,100,"(1, 1, 5, 1)",0.0002,0.0349
Scenario 5,400,100,"(1, 1, 1, 5)",0.0001,0.0350
Scenario 1,400,200,"(1, 1, 1, 1)",0.0004,0.0885
Scenario 2,400,200,"(5, 1, 1, 1)",0.0014,0.1486
Scenario 3,400,200,"(1, 5, 1, 1)",0.0006,0.1377
Scenario 4,400,200,"(1, 1, 5, 1)",0.0006,0.1267
Scenario 5,400,200,"(1, 1, 1, 5)",0.0005,0.0847
Scenario 1,400,300,"(1, 1, 1, 1)",0.0005,0.1135
Scenario 2,400,300,"(5, 1, 1, 1)",0.0010,0.1184
Scenario 3,400,300,"(1, 5, 1, 1)",0.0004,0.1196
Scenario 4,400,300,"(1, 1, 5, 1)",0.0004,0.1224
Scenario 5,400,300,"(1, 1, 1, 5)",0.0006,0.1188
Scenario 1,400,400,"(1, 1, 1, 1)",0.0010,0.1654
Scenario 2,400,400,"(5, 1, 1, 1)",0.0017,0.2545
Scenario 3,400,400,"(1, 5, 1, 1)",0.0007,0.1602
Scenario 4,400,400,"(1, 1, 5, 1)",0.0009,0.2340
Scenario 5,400,400,"(1, 1, 1, 5)",0.0011,0.1777
Scenario 1,400,500,"(1, 1, 1, 1)",0.0010,0.1829
Scenario 2,400,500,"(5, 1, 1, 1)",0.0012,0.1646
Scenario 3,400,500,"(1, 5, 1, 1)",0.0006,0.1765
Scenario 4,400,500,"(1, 1, 5, 1)",0.0007,0.1820
Scenario 5,400,500,"(1, 1, 1, 5)",0.0011,0.1767
Scenario 1,400,600,"(1, 1, 1, 1)",0.0009,0.1986
Scenario 2,400,600,"(5, 1, 1, 1)",0.0014,0.1926
Scenario 3,400,600,"(1, 5, 1, 1)",0.0007,0.2124
Scenario 4,400,600,"(1, 1, 5, 1)",0.0007,0.2115
Scenario 5,400,600,"(1, 1, 1, 5)",0.0015,0.2466
Scenario 1,400,700,"(1, 1, 1, 1)",0.0011,0.2330
Scenario 2,400,700,"(5, 1, 1, 1)",0.0015,0.2279
Scenario 3,400,700,"(1, 5, 1, 1)",0.0009,0.2380
Scenario 4,400,700,"(1, 1, 5, 1)",0.0008,0.2439
Scenario 5,400,700,"(1, 1, 1, 5)",0.0010,0.2361
Scenario 1,400,800,"(1, 1, 1, 1)",0.0012,0.2627
Scenario 2,400,800,"(5, 1, 1, 1)",0.0017,0.2645
Scenario 3,400,800,"(1, 5, 1, 1)",0.0008,0.2664
Scenario 4,400,800,"(1, 1, 5, 1)",0.0009,0.2684
Scenario 5,400,800,"(1, 1, 1, 5)",0.0012,0.2670
Scenario 1,400,900,"(1, 1, 1, 1)",0.0013,0.2907
Scenario 2,400,900,"(5, 1, 1, 1)",0.0019,0.2991
Scenario 3,400,900,"(1, 5, 1, 1)",0.0009,0.3015
Scenario 4,400,900,"(1, 1, 5, 1)",0.0008,0.3002
Scenario 5,400,900,"(1, 1, 1, 5)",0.0012,0.2994
Scenario 1,400,1000,"(1, 1, 1, 1)",0.0020,0.3567
Scenario 2,400,1000,"(5, 1, 1, 1)",0.0029,0.3785
Scenario 3,400,1000,"(1, 5, 1, 1)",0.0013,0.3483
Scenario 4,400,1000,"(1, 1, 5, 1)",0.0011,0.3427
Scenario 5,400,1000,"(1, 1, 1, 5)",0.0017,0.3459
Scenario 1,400,2000,"(1, 1, 1, 1)",0.0038,0.6972
Scenario 2,400,2000,"(5, 1, 1, 1)",0.0056,0.9758
Scenario 3,400,2000,"(1, 5, 1, 1)",0.0029,0.7257
Scenario 4,400,2000,"(1, 1, 5, 1)",0.0029,0.7207
Scenario 5,400,2000,"(1, 1, 1, 5)",0.0044,0.7394
Scenario 1,400,3000,"(1, 1, 1, 1)",0.0060,1.1361
Scenario 2,400,3000,"(5, 1, 1, 1)",0.0083,1.8364
Scenario 3,400,3000,"(1, 5, 1, 1)",0.0042,1.0480
Scenario 4,400,3000,"(1, 1, 5, 1)",0.0039,1.0246
Scenario 5,400,3000,"(1, 1, 1, 5)",0.0057,1.0051
Scenario 1,400,4000,"(1, 1, 1, 1)",0.0099,1.9153
Scenario 2,400,4000,"(5, 1, 1, 1)",0.0132,3.2507
Scenario 3,400,4000,"(1, 5, 1, 1)",0.0056,1.4064
Scenario 4,400,4000,"(1, 1, 5, 1)",0.0057,1.3718
Scenario 5,400,4000,"(1, 1, 1, 5)",0.0072,1.3183
Scenario 1,400,5000,"(1, 1, 1, 1)",0.0094,2.3870
Scenario 2,400,5000,"(5, 1, 1, 1)",0.0158,4.7534
Scenario 3,400,5000,"(1, 5, 1, 1)",0.0069,1.8006
Scenario 4,400,5000,"(1, 1, 5, 1)",0.0078,1.9866
Scenario 5,400,5000,"(1, 1, 1, 5)",0.0115,1.8367
Scenario 1,500,10,"(1, 1, 1, 1)",0.0000,0.0043
Scenario 2,500,10,"(5, 1, 1, 1)",0.0000,0.0043
Scenario 3,500,10,"(1, 5, 1, 1)",0.0000,0.0042
Scenario 4,500,10,"(1, 1, 5, 1)",0.0000,0.0038
Scenario 5,500,10,"(1, 1, 1, 5)",0.0000,0.0044
Scenario 1,500,50,"(1, 1, 1, 1)",0.0001,0.0226
Scenario 2,500,50,"(5, 1, 1, 1)",0.0001,0.0202
Scenario 3,500,50,"(1, 5, 1, 1)",0.0000,0.0191
Scenario 4,500,50,"(1, 1, 5, 1)",0.0001,0.0212
Scenario 5,500,50,"(1, 1, 1, 5)",0.0001,0.0195
Scenario 1,500,100,"(1, 1, 1, 1)",0.0001,0.0397
Scenario 2,500,100,"(5, 1, 1, 1)",0.0002,0.0397
Scenario 3,500,100,"(1, 5, 1, 1)",0.0001,0.0373
Scenario 4,500,100,"(1, 1, 5, 1)",0.0001,0.0395
Scenario 5,500,100,"(1, 1, 1, 5)",0.0002,0.0462
Scenario 1,500,200,"(1, 1, 1, 1)",0.0004,0.0928
Scenario 2,500,200,"(5, 1, 1, 1)",0.0006,0.0893
Scenario 3,500,200,"(1, 5, 1, 1)",0.0002,0.0875
Scenario 4,500,200,"(1, 1, 5, 1)",0.0003,0.0903
Scenario 5,500,200,"(1, 1, 1, 5)",0.0004,0.0885
Scenario 1,500,300,"(1, 1, 1, 1)",0.0004,0.1272
Scenario 2,500,300,"(5, 1, 1, 1)",0.0006,0.1254
Scenario 3,500,300,"(1, 5, 1, 1)",0.0005,0.1437
Scenario 4,500,300,"(1, 1, 5, 1)",0.0004,0.1305
Scenario 5,500,300,"(1, 1, 1, 5)",0.0005,0.1327
Scenario 1,500,400,"(1, 1, 1, 1)",0.0008,0.1737
Scenario 2,500,400,"(5, 1, 1, 1)",0.0008,0.1684
Scenario 3,500,400,"(1, 5, 1, 1)",0.0005,0.1648
Scenario 4,500,400,"(1, 1, 5, 1)",0.0003,0.1541
Scenario 5,500,400,"(1, 1, 1, 5)",0.0006,0.1601
Scenario 1,500,500,"(1, 1, 1, 1)",0.0006,0.2001
Scenario 2,500,500,"(5, 1, 1, 1)",0.0010,0.2151
Scenario 3,500,500,"(1, 5, 1, 1)",0.0011,0.3622
Scenario 4,500,500,"(1, 1, 5, 1)",0.0014,0.3647
Scenario 5,500,500,"(1, 1, 1, 5)",0.0015,0.2524
Scenario 1,500,600,"(1, 1, 1, 1)",0.0010,0.2584
Scenario 2,500,600,"(5, 1, 1, 1)",0.0017,0.2888
Scenario 3,500,600,"(1, 5, 1, 1)",0.0009,0.2574
Scenario 4,500,600,"(1, 1, 5, 1)",0.0008,0.2586
Scenario 5,500,600,"(1, 1, 1, 5)",0.0013,0.2744
Scenario 1,500,700,"(1, 1, 1, 1)",0.0014,0.3078
Scenario 2,500,700,"(5, 1, 1, 1)",0.0014,0.2886
Scenario 3,500,700,"(1, 5, 1, 1)",0.0008,0.3017
Scenario 4,500,700,"(1, 1, 5, 1)",0.0008,0.2929
Scenario 5,500,700,"(1, 1, 1, 5)",0.0010,0.2786
Scenario 1,500,800,"(1, 1, 1, 1)",0.0015,0.3502
Scenario 2,500,800,"(5, 1, 1, 1)",0.0023,0.3653
Scenario 3,500,800,"(1, 5, 1, 1)",0.0010,0.3418
Scenario 4,500,800,"(1, 1, 5, 1)",0.0012,0.3569
Scenario 5,500,800,"(1, 1, 1, 5)",0.0017,0.3576
Scenario 1,500,900,"(1, 1, 1, 1)",0.0015,0.3937
Scenario 2,500,900,"(5, 1, 1, 1)",0.0023,0.3974
Scenario 3,500,900,"(1, 5, 1, 1)",0.0010,0.3692
Scenario 4,500,900,"(1, 1, 5, 1)",0.0012,0.3901
Scenario 5,500,900,"(1, 1, 1, 5)",0.0014,0.3755
Scenario 1,500,1000,"(1, 1, 1, 1)",0.0022,0.4864
Scenario 2,500,1000,"(5, 1, 1, 1)",0.0031,0.4882
Scenario 3,500,1000,"(1, 5, 1, 1)",0.0014,0.4244
Scenario 4,500,1000,"(1, 1, 5, 1)",0.0016,0.4505
Scenario 5,500,1000,"(1, 1, 1, 5)",0.0017,0.4134
Scenario 1,500,2000,"(1, 1, 1, 1)",0.0043,0.9154
Scenario 2,500,2000,"(5, 1, 1, 1)",0.0060,1.1291
Scenario 3,500,2000,"(1, 5, 1, 1)",0.0030,0.9030
Scenario 4,500,2000,"(1, 1, 5, 1)",0.0027,0.8784
Scenario 5,500,2000,"(1, 1, 1, 5)",0.0045,1.0320
Scenario 1,500,3000,"(1, 1, 1, 1)",0.0050,1.3548
Scenario 2,500,3000,"(5, 1, 1, 1)",0.0080,1.9744
Scenario 3,500,3000,"(1, 5, 1, 1)",0.0039,1.3244
Scenario 4,500,3000,"(1, 1, 5, 1)",0.0039,1.3469
Scenario 5,500,3000,"(1, 1, 1, 5)",0.0054,1.2791
Scenario 1,500,4000,"(1, 1, 1, 1)",0.0067,1.8555
Scenario 2,500,4000,"(5, 1, 1, 1)",0.0117,3.3874
Scenario 3,500,4000,"(1, 5, 1, 1)",0.0054,1.8800
Scenario 4,500,4000,"(1, 1, 5, 1)",0.0058,1.9247
Scenario 5,500,4000,"(1, 1, 1, 5)",0.0095,1.9068
Scenario 1,500,5000,"(1, 1, 1, 1)",0.0117,2.9665
Scenario 2,500,5000,"(5, 1, 1, 1)",0.0168,5.2117
Scenario 3,500,5000,"(1, 5, 1, 1)",0.0079,2.3910
Scenario 4,500,5000,"(1, 1, 5, 1)",0.0094,2.6400
Scenario 5,500,5000,"(1, 1, 1, 5)",0.0119,2.3267
Scenario 1,600,10,"(1, 1, 1, 1)",0.0000,0.0045
Scenario 2,600,10,"(5, 1, 1, 1)",0.0000,0.0066
Scenario 3,600,10,"(1, 5, 1, 1)",0.0000,0.0047
Scenario 4,600,10,"(1, 1, 5, 1)",0.0000,0.0044
Scenario 5,600,10,"(1, 1, 1, 5)",0.0000,0.0044
Scenario 1,600,50,"(1, 1, 1, 1)",0.0001,0.0222
Scenario 2,600,50,"(5, 1, 1, 1)",0.0001,0.0229
Scenario 3,600,50,"(1, 5, 1, 1)",0.0000,0.0220
Scenario 4,600,50,"(1, 1, 5, 1)",0.0000,0.0216
Scenario 5,600,50,"(1, 1, 1, 5)",0.0001,0.0226
Scenario 1,600,100,"(1, 1, 1, 1)",0.0002,0.0461
Scenario 2,600,100,"(5, 1, 1, 1)",0.0002,0.0477
Scenario 3,600,100,"(1, 5, 1, 1)",0.0001,0.0540
Scenario 4,600,100,"(1, 1, 5, 1)",0.0001,0.0495
Scenario 5,600,100,"(1, 1, 1, 5)",0.0002,0.0499
Scenario 1,600,200,"(1, 1, 1, 1)",0.0003,0.0993
Scenario 2,600,200,"(5, 1, 1, 1)",0.0008,0.1059
Scenario 3,600,200,"(1, 5, 1, 1)",0.0002,0.0950
Scenario 4,600,200,"(1, 1, 5, 1)",0.0004,0.1273
Scenario 5,600,200,"(1, 1, 1, 5)",0.0004,0.1199
Scenario 1,600,300,"(1, 1, 1, 1)",0.0007,0.1603
Scenario 2,600,300,"(5, 1, 1, 1)",0.0008,0.1694
Scenario 3,600,300,"(1, 5, 1, 1)",0.0004,0.1530
Scenario 4,600,300,"(1, 1, 5, 1)",0.0003,0.1460
Scenario 5,600,300,"(1, 1, 1, 5)",0.0006,0.1537
Scenario 1,600,400,"(1, 1, 1, 1)",0.0006,0.1923
Scenario 2,600,400,"(5, 1, 1, 1)",0.0008,0.1958
Scenario 3,600,400,"(1, 5, 1, 1)",0.0005,0.1874
Scenario 4,600,400,"(1, 1, 5, 1)",0.0004,0.1862
Scenario 5,600,400,"(1, 1, 1, 5)",0.0005,0.1826
Scenario 1,600,500,"(1, 1, 1, 1)",0.0007,0.2377
Scenario 2,600,500,"(5, 1, 1, 1)",0.0014,0.3006
Scenario 3,600,500,"(1, 5, 1, 1)",0.0006,0.2602
Scenario 4,600,500,"(1, 1, 5, 1)",0.0006,0.2420
Scenario 5,600,500,"(1, 1, 1, 5)",0.0010,0.2547
Scenario 1,600,600,"(1, 1, 1, 1)",0.0011,0.2963
Scenario 2,600,600,"(5, 1, 1, 1)",0.0017,0.3278
Scenario 3,600,600,"(1, 5, 1, 1)",0.0010,0.3457
Scenario 4,600,600,"(1, 1, 5, 1)",0.0014,0.5203
Scenario 5,600,600,"(1, 1, 1, 5)",0.0012,0.2894
Scenario 1,600,700,"(1, 1, 1, 1)",0.0010,0.3374
Scenario 2,600,700,"(5, 1, 1, 1)",0.0019,0.3771
Scenario 3,600,700,"(1, 5, 1, 1)",0.0007,0.3432
Scenario 4,600,700,"(1, 1, 5, 1)",0.0007,0.3439
Scenario 5,600,700,"(1, 1, 1, 5)",0.0014,0.3580
Scenario 1,600,800,"(1, 1, 1, 1)",0.0015,0.4212
Scenario 2,600,800,"(5, 1, 1, 1)",0.0024,0.4592
Scenario 3,600,800,"(1, 5, 1, 1)",0.0008,0.3898
Scenario 4,600,800,"(1, 1, 5, 1)",0.0011,0.4130
Scenario 5,600,800,"(1, 1, 1, 5)",0.0016,0.4163
Scenario 1,600,900,"(1, 1, 1, 1)",0.0018,0.4642
Scenario 2,600,900,"(5, 1, 1, 1)",0.0025,0.5215
Scenario 3,600,900,"(1, 5, 1, 1)",0.0014,0.4731
Scenario 4,600,900,"(1, 1, 5, 1)",0.0011,0.4525
Scenario 5,600,900,"(1, 1, 1, 5)",0.0018,0.4484
Scenario 1,600,1000,"(1, 1, 1, 1)",0.0020,0.5221
Scenario 2,600,1000,"(5, 1, 1, 1)",0.0027,0.5548
Scenario 3,600,1000,"(1, 5, 1, 1)",0.0011,0.4895
Scenario 4,600,1000,"(1, 1, 5, 1)",0.0011,0.4751
Scenario 5,600,1000,"(1, 1, 1, 5)",0.0015,0.4801
Scenario 1,600,2000,"(1, 1, 1, 1)",0.0036,1.0642
Scenario 2,600,2000,"(5, 1, 1, 1)",0.0051,1.2282
Scenario 3,600,2000,"(1, 5, 1, 1)",0.0025,1.0259
Scenario 4,600,2000,"(1, 1, 5, 1)",0.0028,1.0420
Scenario 5,600,2000,"(1, 1, 1, 5)",0.0039,1.0362
Scenario 1,600,3000,"(1, 1, 1, 1)",0.0061,1.7223
Scenario 2,600,3000,"(5, 1, 1, 1)",0.0092,2.2549
Scenario 3,600,3000,"(1, 5, 1, 1)",0.0046,1.8703
Scenario 4,600,3000,"(1, 1, 5, 1)",0.0045,1.6747
Scenario 5,600,3000,"(1, 1, 1, 5)",0.0066,1.6970
Scenario 1,600,4000,"(1, 1, 1, 1)",0.0090,2.4042
Scenario 2,600,4000,"(5, 1, 1, 1)",0.0106,3.5460
Scenario 3,600,4000,"(1, 5, 1, 1)",0.0063,2.2712
Scenario 4,600,4000,"(1, 1, 5, 1)",0.0062,2.2676
Scenario 5,600,4000,"(1, 1, 1, 5)",0.0083,2.1735
Scenario 1,600,5000,"(1, 1, 1, 1)",0.0114,3.3988
Scenario 2,600,5000,"(5, 1, 1, 1)",0.0155,5.2864
Scenario 3,600,5000,"(1, 5, 1, 1)",0.0071,2.8666
Scenario 4,600,5000,"(1, 1, 5, 1)",0.0071,2.8009
Scenario 5,600,5000,"(1, 1, 1, 5)",0.0103,2.8120
Scenario 1,700,10,"(1, 1, 1, 1)",0.0000,0.0064
Scenario 2,700,10,"(5, 1, 1, 1)",0.0000,0.0055
Scenario 3,700,10,"(1, 5, 1, 1)",0.0000,0.0061
Scenario 4,700,10,"(1, 1, 5, 1)",0.0000,0.0061
Scenario 5,700,10,"(1, 1, 1, 5)",0.0000,0.0055
Scenario 1,700,50,"(1, 1, 1, 1)",0.0001,0.0274
Scenario 2,700,50,"(5, 1, 1, 1)",0.0001,0.0268
Scenario 3,700,50,"(1, 5, 1, 1)",0.0001,0.0275
Scenario 4,700,50,"(1, 1, 5, 1)",0.0000,0.0258
Scenario 5,700,50,"(1, 1, 1, 5)",0.0001,0.0291
Scenario 1,700,100,"(1, 1, 1, 1)",0.0001,0.0559
Scenario 2,700,100,"(5, 1, 1, 1)",0.0003,0.0564
Scenario 3,700,100,"(1, 5, 1, 1)",0.0001,0.0556
Scenario 4,700,100,"(1, 1, 5, 1)",0.0001,0.0557
Scenario 5,700,100,"(1, 1, 1, 5)",0.0001,0.0563
Scenario 1,700,200,"(1, 1, 1, 1)",0.0003,0.1072
Scenario 2,700,200,"(5, 1, 1, 1)",0.0004,0.1084
Scenario 3,700,200,"(1, 5, 1, 1)",0.0003,0.1143
Scenario 4,700,200,"(1, 1, 5, 1)",0.0002,0.1090
Scenario 5,700,200,"(1, 1, 1, 5)",0.0004,0.1195
Scenario 1,700,300,"(1, 1, 1, 1)",0.0005,0.1731
Scenario 2,700,300,"(5, 1, 1, 1)",0.0009,0.1866
Scenario 3,700,300,"(1, 5, 1, 1)",0.0005,0.1767
Scenario 4,700,300,"(1, 1, 5, 1)",0.0003,0.1633
Scenario 5,700,300,"(1, 1, 1, 5)",0.0005,0.1622
Scenario 1,700,400,"(1, 1, 1, 1)",0.0007,0.2324
Scenario 2,700,400,"(5, 1, 1, 1)",0.0010,0.2301
Scenario 3,700,400,"(1, 5, 1, 1)",0.0004,0.2163
Scenario 4,700,400,"(1, 1, 5, 1)",0.0005,0.2219
Scenario 5,700,400,"(1, 1, 1, 5)",0.0006,0.2247
Scenario 1,700,500,"(1, 1, 1, 1)",0.0008,0.2728
Scenario 2,700,500,"(5, 1, 1, 1)",0.0013,0.2916
Scenario 3,700,500,"(1, 5, 1, 1)",0.0006,0.2779
Scenario 4,700,500,"(1, 1, 5, 1)",0.0007,0.2906
Scenario 5,700,500,"(1, 1, 1, 5)",0.0017,0.4462
Scenario 1,700,600,"(1, 1, 1, 1)",0.0011,0.3545
Scenario 2,700,600,"(5, 1, 1, 1)",0.0014,0.3468
Scenario 3,700,600,"(1, 5, 1, 1)",0.0007,0.3227
Scenario 4,700,600,"(1, 1, 5, 1)",0.0007,0.3382
Scenario 5,700,600,"(1, 1, 1, 5)",0.0011,0.3325
Scenario 1,700,700,"(1, 1, 1, 1)",0.0015,0.4200
Scenario 2,700,700,"(5, 1, 1, 1)",0.0020,0.4316
Scenario 3,700,700,"(1, 5, 1, 1)",0.0010,0.4073
Scenario 4,700,700,"(1, 1, 5, 1)",0.0011,0.4069
Scenario 5,700,700,"(1, 1, 1, 5)",0.0014,0.3930
Scenario 1,700,800,"(1, 1, 1, 1)",0.0019,0.4920
Scenario 2,700,800,"(5, 1, 1, 1)",0.0022,0.4996
Scenario 3,700,800,"(1, 5, 1, 1)",0.0011,0.4579
Scenario 4,700,800,"(1, 1, 5, 1)",0.0011,0.4623
Scenario 5,700,800,"(1, 1, 1, 5)",0.0015,0.4656
Scenario 1,700,900,"(1, 1, 1, 1)",0.0017,0.5192
Scenario 2,700,900,"(5, 1, 1, 1)",0.0027,0.5593
Scenario 3,700,900,"(1, 5, 1, 1)",0.0010,0.4989
Scenario 4,700,900,"(1, 1, 5, 1)",0.0012,0.5268
Scenario 5,700,900,"(1, 1, 1, 5)",0.0017,0.5099
Scenario 1,700,1000,"(1, 1, 1, 1)",0.0020,0.6020
Scenario 2,700,1000,"(5, 1, 1, 1)",0.0029,0.6247
Scenario 3,700,1000,"(1, 5, 1, 1)",0.0013,0.5802
Scenario 4,700,1000,"(1, 1, 5, 1)",0.0013,0.5774
Scenario 5,700,1000,"(1, 1, 1, 5)",0.0021,0.5781
Scenario 1,700,2000,"(1, 1, 1, 1)",0.0038,1.2094
Scenario 2,700,2000,"(5, 1, 1, 1)",0.0063,1.4280
Scenario 3,700,2000,"(1, 5, 1, 1)",0.0031,1.1972
Scenario 4,700,2000,"(1, 1, 5, 1)",0.0029,1.1944
Scenario 5,700,2000,"(1, 1, 1, 5)",0.0064,1.5673
Scenario 1,700,3000,"(1, 1, 1, 1)",0.0098,2.3843
Scenario 2,700,3000,"(5, 1, 1, 1)",0.0108,2.6641
Scenario 3,700,3000,"(1, 5, 1, 1)",0.0049,1.9097
Scenario 4,700,3000,"(1, 1, 5, 1)",0.0040,1.8179
Scenario 5,700,3000,"(1, 1, 1, 5)",0.0070,1.8348
Scenario 1,700,4000,"(1, 1, 1, 1)",0.0090,2.6578
Scenario 2,700,4000,"(5, 1, 1, 1)",0.0125,3.9744
Scenario 3,700,4000,"(1, 5, 1, 1)",0.0059,2.6155
Scenario 4,700,4000,"(1, 1, 5, 1)",0.0068,2.5113
Scenario 5,700,4000,"(1, 1, 1, 5)",0.0093,2.4980
Scenario 1,700,5000,"(1, 1, 1, 1)",0.0116,3.5566
Scenario 2,700,5000,"(5, 1, 1, 1)",0.0136,5.9058
Scenario 3,700,5000,"(1, 5, 1, 1)",0.0089,3.3970
Scenario 4,700,5000,"(1, 1, 5, 1)",0.0084,3.3590
Scenario 5,700,5000,"(1, 1, 1, 5)",0.0125,3.1334
Scenario 1,800,10,"(1, 1, 1, 1)",0.0001,0.0082
Scenario 2,800,10,"(5, 1, 1, 1)",0.0000,0.0062
Scenario 3,800,10,"(1, 5, 1, 1)",0.0000,0.0064
Scenario 4,800,10,"(1, 1, 5, 1)",0.0000,0.0066
Scenario 5,800,10,"(1, 1, 1, 5)",0.0001,0.0098
Scenario 1,800,50,"(1, 1, 1, 1)",0.0001,0.0333
Scenario 2,800,50,"(5, 1, 1, 1)",0.0001,0.0332
Scenario 3,800,50,"(1, 5, 1, 1)",0.0001,0.0338
Scenario 4,800,50,"(1, 1, 5, 1)",0.0001,0.0337
Scenario 5,800,50,"(1, 1, 1, 5)",0.0001,0.0340
Scenario 1,800,100,"(1, 1, 1, 1)",0.0002,0.0716
Scenario 2,800,100,"(5, 1, 1, 1)",0.0002,0.0693
Scenario 3,800,100,"(1, 5, 1, 1)",0.0001,0.0682
Scenario 4,800,100,"(1, 1, 5, 1)",0.0001,0.0678
Scenario 5,800,100,"(1, 1, 1, 5)",0.0002,0.0700
Scenario 1,800,200,"(1, 1, 1, 1)",0.0004,0.1454
Scenario 2,800,200,"(5, 1, 1, 1)",0.0006,0.1568
Scenario 3,800,200,"(1, 5, 1, 1)",0.0002,0.1327
Scenario 4,800,200,"(1, 1, 5, 1)",0.0002,0.1316
Scenario 5,800,200,"(1, 1, 1, 5)",0.0003,0.1287
Scenario 1,800,300,"(1, 1, 1, 1)",0.0006,0.2028
Scenario 2,800,300,"(5, 1, 1, 1)",0.0008,0.2048
Scenario 3,800,300,"(1, 5, 1, 1)",0.0004,0.1974
Scenario 4,800,300,"(1, 1, 5, 1)",0.0004,0.2079
Scenario 5,800,300,"(1, 1, 1, 5)",0.0006,0.1996
Scenario 1,800,400,"(1, 1, 1, 1)",0.0007,0.2812
Scenario 2,800,400,"(5, 1, 1, 1)",0.0016,0.3489
Scenario 3,800,400,"(1, 5, 1, 1)",0.0006,0.2722
Scenario 4,800,400,"(1, 1, 5, 1)",0.0004,0.2697
Scenario 5,800,400,"(1, 1, 1, 5)",0.0008,0.2767
Scenario 1,800,500,"(1, 1, 1, 1)",0.0011,0.3563
Scenario 2,800,500,"(5, 1, 1, 1)",0.0014,0.3538
Scenario 3,800,500,"(1, 5, 1, 1)",0.0006,0.3285
Scenario 4,800,500,"(1, 1, 5, 1)",0.0007,0.3333
Scenario 5,800,500,"(1, 1, 1, 5)",0.0009,0.3249
Scenario 1,800,600,"(1, 1, 1, 1)",0.0012,0.4170
Scenario 2,800,600,"(5, 1, 1, 1)",0.0018,0.4477
Scenario 3,800,600,"(1, 5, 1, 1)",0.0008,0.4157
Scenario 4,800,600,"(1, 1, 5, 1)",0.0009,0.4127
Scenario 5,800,600,"(1, 1, 1, 5)",0.0014,0.4016
Scenario 1,800,700,"(1, 1, 1, 1)",0.0014,0.4982
Scenario 2,800,700,"(5, 1, 1, 1)",0.0017,0.4881
Scenario 3,800,700,"(1, 5, 1, 1)",0.0008,0.4574
Scenario 4,800,700,"(1, 1, 5, 1)",0.0010,0.4706
Scenario 5,800,700,"(1, 1, 1, 5)",0.0011,0.4581
Scenario 1,800,800,"(1, 1, 1, 1)",0.0018,0.5983
Scenario 2,800,800,"(5, 1, 1, 1)",0.0020,0.5541
Scenario 3,800,800,"(1, 5, 1, 1)",0.0012,0.5456
Scenario 4,800,800,"(1, 1, 5, 1)",0.0010,0.5357
Scenario 5,800,800,"(1, 1, 1, 5)",0.0015,0.5422
Scenario 1,800,900,"(1, 1, 1, 1)",0.0014,0.5929
Scenario 2,800,900,"(5, 1, 1, 1)",0.0026,0.6362
Scenario 3,800,900,"(1, 5, 1, 1)",0.0016,0.7918
Scenario 4,800,900,"(1, 1, 5, 1)",0.0014,0.6243
Scenario 5,800,900,"(1, 1, 1, 5)",0.0018,0.6136
Scenario 1,800,1000,"(1, 1, 1, 1)",0.0018,0.7063
Scenario 2,800,1000,"(5, 1, 1, 1)",0.0029,0.7038
Scenario 3,800,1000,"(1, 5, 1, 1)",0.0016,0.7188
Scenario 4,800,1000,"(1, 1, 5, 1)",0.0013,0.7019
Scenario 5,800,1000,"(1, 1, 1, 5)",0.0019,0.6887
Scenario 1,800,2000,"(1, 1, 1, 1)",0.0047,1.4973
Scenario 2,800,2000,"(5, 1, 1, 1)",0.0063,1.5554
Scenario 3,800,2000,"(1, 5, 1, 1)",0.0030,1.4157
Scenario 4,800,2000,"(1, 1, 5, 1)",0.0029,1.4278
Scenario 5,800,2000,"(1, 1, 1, 5)",0.0043,1.4265
Scenario 1,800,3000,"(1, 1, 1, 1)",0.0066,2.2105
Scenario 2,800,3000,"(5, 1, 1, 1)",0.0095,2.7194
