Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 4,10,5000,"(1, 1, 5, 1)",0.0044,0.1174
Scenario 5,10,5000,"(1, 1, 1, 5)",0.0061,0.0950
Scenario 1,50,10,"(1, 1, 1, 1)",0.0000,0.0007
Scenario 2,50,10,"(5, 1, 1, 1)",0.0000,0.0006
Scenario 3,50,10,"(1, 5, 1, 1)",0.0000,0.0005
Scenario 4,50,10,"(1, 1, 5, 1)",0.0000,0.0004
Scenario 5,50,10,"(1, 1, 1, 5)",0.0000,0.0004
Scenario 1,50,50,"(1, 1, 1, 1)",0.0001,0.0044
Scenario 2,50,50,"(5, 1, 1, 1)",0.0001,0.0044
Scenario 3,50,50,"(1, 5, 1, 1)",0.0001,0.0042
Scenario 4,50,50,"(1, 1, 5, 1)",0.0001,0.0066
Scenario 5,50,50,"(1, 1, 1, 5)",0.0001,0.0043
Scenario 1,50,100,"(1, 1, 1, 1)",0.0002,0.0067
Scenario 2,50,100,"(5, 1, 1, 1)",0.0002,0.0059
Scenario 3,50,100,"(1, 5, 1, 1)",0.0001,0.0065
Scenario 4,50,100,"(1, 1, 5, 1)",0.0001,0.0044
Scenario 5,50,100,"(1, 1, 1, 5)",0.0001,0.0045
Scenario 1,50,200,"(1, 1, 1, 1)",0.0005,0.0128
Scenario 2,50,200,"(5, 1, 1, 1)",0.0005,0.0142
Scenario 3,50,200,"(1, 5, 1, 1)",0.0002,0.0111
Scenario 4,50,200,"(1, 1, 5, 1)",0.0002,0.0098
Scenario 5,50,200,"(1, 1, 1, 5)",0.0004,0.0096
Scenario 1,50,300,"(1, 1, 1, 1)",0.0005,0.0200
Scenario 2,50,300,"(5, 1, 1, 1)",0.0007,0.0227
Scenario 3,50,300,"(1, 5, 1, 1)",0.0003,0.0129
Scenario 4,50,300,"(1, 1, 5, 1)",0.0003,0.0132
Scenario 5,50,300,"(1, 1, 1, 5)",0.0004,0.0142
Scenario 1,50,400,"(1, 1, 1, 1)",0.0005,0.0212
Scenario 2,50,400,"(5, 1, 1, 1)",0.0008,0.0280
Scenario 3,50,400,"(1, 5, 1, 1)",0.0004,0.0184
Scenario 4,50,400,"(1, 1, 5, 1)",0.0007,0.0263
Scenario 5,50,400,"(1, 1, 1, 5)",0.0007,0.0251
Scenario 1,50,500,"(1, 1, 1, 1)",0.0008,0.0300
Scenario 2,50,500,"(5, 1, 1, 1)",0.0010,0.0457
Scenario 3,50,500,"(1, 5, 1, 1)",0.0004,0.0226
Scenario 4,50,500,"(1, 1, 5, 1)",0.0006,0.0298
Scenario 5,50,500,"(1, 1, 1, 5)",0.0010,0.0290
Scenario 1,50,600,"(1, 1, 1, 1)",0.0009,0.0374
Scenario 2,50,600,"(5, 1, 1, 1)",0.0016,0.1346
Scenario 3,50,600,"(1, 5, 1, 1)",0.0013,0.1609
Scenario 4,50,600,"(1, 1, 5, 1)",0.0014,0.1096
Scenario 5,50,600,"(1, 1, 1, 5)",0.0021,0.1362
Scenario 1,50,700,"(1, 1, 1, 1)",0.0062,0.1380
Scenario 2,50,700,"(5, 1, 1, 1)",0.0025,0.1035
Scenario 3,50,700,"(1, 5, 1, 1)",0.0009,0.0368
Scenario 4,50,700,"(1, 1, 5, 1)",0.0007,0.0351
Scenario 5,50,700,"(1, 1, 1, 5)",0.0015,0.0447
Scenario 1,50,800,"(1, 1, 1, 1)",0.0019,0.0718
Scenario 2,50,800,"(5, 1, 1, 1)",0.0017,0.0948
Scenario 3,50,800,"(1, 5, 1, 1)",0.0014,0.0514
Scenario 4,50,800,"(1, 1, 5, 1)",0.0009,0.0436
Scenario 5,50,800,"(1, 1, 1, 5)",0.0013,0.0425
Scenario 1,50,900,"(1, 1, 1, 1)",0.0016,0.0698
Scenario 2,50,900,"(5, 1, 1, 1)",0.0019,0.1158
Scenario 3,50,900,"(1, 5, 1, 1)",0.0008,0.0408
Scenario 4,50,900,"(1, 1, 5, 1)",0.0010,0.0489
Scenario 5,50,900,"(1, 1, 1, 5)",0.0019,0.0593
Scenario 1,50,1000,"(1, 1, 1, 1)",0.0015,0.0733
Scenario 2,50,1000,"(5, 1, 1, 1)",0.0023,0.1375
Scenario 3,50,1000,"(1, 5, 1, 1)",0.0009,0.0506
Scenario 4,50,1000,"(1, 1, 5, 1)",0.0008,0.0463
Scenario 5,50,1000,"(1, 1, 1, 5)",0.0014,0.0506
Scenario 1,50,2000,"(1, 1, 1, 1)",0.0030,0.2106
Scenario 2,50,2000,"(5, 1, 1, 1)",0.0048,0.4616
Scenario 3,50,2000,"(1, 5, 1, 1)",0.0023,0.1352
Scenario 4,50,2000,"(1, 1, 5, 1)",0.0021,0.1411
Scenario 5,50,2000,"(1, 1, 1, 5)",0.0032,0.1387
Scenario 1,50,3000,"(1, 1, 1, 1)",0.0050,0.4581
Scenario 2,50,3000,"(5, 1, 1, 1)",0.0053,0.7205
Scenario 3,50,3000,"(1, 5, 1, 1)",0.0024,0.2001
Scenario 4,50,3000,"(1, 1, 5, 1)",0.0032,0.2714
Scenario 5,50,3000,"(1, 1, 1, 5)",0.0049,0.2532
Scenario 1,50,4000,"(1, 1, 1, 1)",0.0051,0.5850
Scenario 2,50,4000,"(5, 1, 1, 1)",0.0075,1.1610
Scenario 3,50,4000,"(1, 5, 1, 1)",0.0044,0.3689
Scenario 4,50,4000,"(1, 1, 5, 1)",0.0030,0.3453
Scenario 5,50,4000,"(1, 1, 1, 5)",0.0052,0.3687
Scenario 1,50,5000,"(1, 1, 1, 1)",0.0079,0.9215
Scenario 2,50,5000,"(5, 1, 1, 1)",0.0105,1.7138
Scenario 3,50,5000,"(1, 5, 1, 1)",0.0056,0.5006
Scenario 4,50,5000,"(1, 1, 5, 1)",0.0048,0.5354
Scenario 5,50,5000,"(1, 1, 1, 5)",0.0071,0.5470
Scenario 1,100,10,"(1, 1, 1, 1)",0.0000,0.0007
Scenario 2,100,10,"(5, 1, 1, 1)",0.0000,0.0008
Scenario 3,100,10,"(1, 5, 1, 1)",0.0000,0.0009
Scenario 4,100,10,"(1, 1, 5, 1)",0.0000,0.0008
Scenario 5,100,10,"(1, 1, 1, 5)",0.0000,0.0008
Scenario 1,100,50,"(1, 1, 1, 1)",0.0000,0.0039
Scenario 2,100,50,"(5, 1, 1, 1)",0.0001,0.0049
Scenario 3,100,50,"(1, 5, 1, 1)",0.0000,0.0036
Scenario 4,100,50,"(1, 1, 5, 1)",0.0000,0.0036
Scenario 5,100,50,"(1, 1, 1, 5)",0.0000,0.0035
Scenario 1,100,100,"(1, 1, 1, 1)",0.0001,0.0083
Scenario 2,100,100,"(5, 1, 1, 1)",0.0001,0.0079
Scenario 3,100,100,"(1, 5, 1, 1)",0.0001,0.0070
Scenario 4,100,100,"(1, 1, 5, 1)",0.0001,0.0073
Scenario 5,100,100,"(1, 1, 1, 5)",0.0001,0.0072
Scenario 1,100,200,"(1, 1, 1, 1)",0.0002,0.0146
Scenario 2,100,200,"(5, 1, 1, 1)",0.0003,0.0155
Scenario 3,100,200,"(1, 5, 1, 1)",0.0002,0.0144
Scenario 4,100,200,"(1, 1, 5, 1)",0.0001,0.0147
Scenario 5,100,200,"(1, 1, 1, 5)",0.0002,0.0148
Scenario 1,100,300,"(1, 1, 1, 1)",0.0003,0.0224
Scenario 2,100,300,"(5, 1, 1, 1)",0.0004,0.0245
Scenario 3,100,300,"(1, 5, 1, 1)",0.0002,0.0243
Scenario 4,100,300,"(1, 1, 5, 1)",0.0003,0.0236
Scenario 5,100,300,"(1, 1, 1, 5)",0.0003,0.0236
Scenario 1,100,400,"(1, 1, 1, 1)",0.0005,0.0315
Scenario 2,100,400,"(5, 1, 1, 1)",0.0006,0.0354
Scenario 3,100,400,"(1, 5, 1, 1)",0.0003,0.0291
Scenario 4,100,400,"(1, 1, 5, 1)",0.0003,0.0293
Scenario 5,100,400,"(1, 1, 1, 5)",0.0004,0.0298
Scenario 1,100,500,"(1, 1, 1, 1)",0.0006,0.0411
Scenario 2,100,500,"(5, 1, 1, 1)",0.0009,0.0519
Scenario 3,100,500,"(1, 5, 1, 1)",0.0004,0.0381
Scenario 4,100,500,"(1, 1, 5, 1)",0.0007,0.0567
Scenario 5,100,500,"(1, 1, 1, 5)",0.0018,0.0787
Scenario 1,100,600,"(1, 1, 1, 1)",0.0016,0.0956
Scenario 2,100,600,"(5, 1, 1, 1)",0.0028,0.1357
Scenario 3,100,600,"(1, 5, 1, 1)",0.0006,0.0559
Scenario 4,100,600,"(1, 1, 5, 1)",0.0004,0.0425
Scenario 5,100,600,"(1, 1, 1, 5)",0.0006,0.0429
Scenario 1,100,700,"(1, 1, 1, 1)",0.0007,0.0524
Scenario 2,100,700,"(5, 1, 1, 1)",0.0013,0.0906
Scenario 3,100,700,"(1, 5, 1, 1)",0.0006,0.0516
Scenario 4,100,700,"(1, 1, 5, 1)",0.0006,0.0560
Scenario 5,100,700,"(1, 1, 1, 5)",0.0009,0.0548
Scenario 1,100,800,"(1, 1, 1, 1)",0.0009,0.0686
Scenario 2,100,800,"(5, 1, 1, 1)",0.0013,0.0995
Scenario 3,100,800,"(1, 5, 1, 1)",0.0007,0.0635
Scenario 4,100,800,"(1, 1, 5, 1)",0.0007,0.0592
Scenario 5,100,800,"(1, 1, 1, 5)",0.0008,0.0573
Scenario 1,100,900,"(1, 1, 1, 1)",0.0015,0.0906
Scenario 2,100,900,"(5, 1, 1, 1)",0.0017,0.1321
Scenario 3,100,900,"(1, 5, 1, 1)",0.0007,0.0713
Scenario 4,100,900,"(1, 1, 5, 1)",0.0010,0.0780
Scenario 5,100,900,"(1, 1, 1, 5)",0.0012,0.0709
Scenario 1,100,1000,"(1, 1, 1, 1)",0.0015,0.1018
Scenario 2,100,1000,"(5, 1, 1, 1)",0.0031,0.2224
Scenario 3,100,1000,"(1, 5, 1, 1)",0.0009,0.0824
Scenario 4,100,1000,"(1, 1, 5, 1)",0.0011,0.0813
Scenario 5,100,1000,"(1, 1, 1, 5)",0.0018,0.0914
Scenario 1,100,2000,"(1, 1, 1, 1)",0.0039,0.3448
Scenario 2,100,2000,"(5, 1, 1, 1)",0.0050,0.6017
Scenario 3,100,2000,"(1, 5, 1, 1)",0.0021,0.2264
Scenario 4,100,2000,"(1, 1, 5, 1)",0.0021,0.1932
Scenario 5,100,2000,"(1, 1, 1, 5)",0.0028,0.1844
Scenario 1,100,3000,"(1, 1, 1, 1)",0.0047,0.5267
Scenario 2,100,3000,"(5, 1, 1, 1)",0.0101,1.3021
Scenario 3,100,3000,"(1, 5, 1, 1)",0.0039,0.3889
Scenario 4,100,3000,"(1, 1, 5, 1)",0.0033,0.3541
Scenario 5,100,3000,"(1, 1, 1, 5)",0.0048,0.3386
Scenario 1,100,4000,"(1, 1, 1, 1)",0.0060,0.8339
Scenario 2,100,4000,"(5, 1, 1, 1)",0.0085,1.7869
Scenario 3,100,4000,"(1, 5, 1, 1)",0.0038,0.4959
Scenario 4,100,4000,"(1, 1, 5, 1)",0.0047,0.5769
Scenario 5,100,4000,"(1, 1, 1, 5)",0.0079,0.5782
Scenario 1,100,5000,"(1, 1, 1, 1)",0.0104,1.5321
Scenario 2,100,5000,"(5, 1, 1, 1)",0.0125,2.8287
Scenario 3,100,5000,"(1, 5, 1, 1)",0.0050,0.6784
Scenario 4,100,5000,"(1, 1, 5, 1)",0.0054,0.7440
Scenario 5,100,5000,"(1, 1, 1, 5)",0.0082,0.7308
Scenario 1,200,10,"(1, 1, 1, 1)",0.0000,0.0017
Scenario 2,200,10,"(5, 1, 1, 1)",0.0000,0.0021
Scenario 3,200,10,"(1, 5, 1, 1)",0.0000,0.0017
Scenario 4,200,10,"(1, 1, 5, 1)",0.0000,0.0016
Scenario 5,200,10,"(1, 1, 1, 5)",0.0000,0.0015
Scenario 1,200,50,"(1, 1, 1, 1)",0.0001,0.0078
Scenario 2,200,50,"(5, 1, 1, 1)",0.0001,0.0076
Scenario 3,200,50,"(1, 5, 1, 1)",0.0001,0.0072
Scenario 4,200,50,"(1, 1, 5, 1)",0.0000,0.0073
Scenario 5,200,50,"(1, 1, 1, 5)",0.0000,0.0073
Scenario 1,200,100,"(1, 1, 1, 1)",0.0002,0.0155
Scenario 2,200,100,"(5, 1, 1, 1)",0.0001,0.0148
Scenario 3,200,100,"(1, 5, 1, 1)",0.0001,0.0152
Scenario 4,200,100,"(1, 1, 5, 1)",0.0002,0.0157
Scenario 5,200,100,"(1, 1, 1, 5)",0.0001,0.0145
Scenario 1,200,200,"(1, 1, 1, 1)",0.0002,0.0289
Scenario 2,200,200,"(5, 1, 1, 1)",0.0003,0.0292
Scenario 3,200,200,"(1, 5, 1, 1)",0.0001,0.0289
Scenario 4,200,200,"(1, 1, 5, 1)",0.0004,0.0363
Scenario 5,200,200,"(1, 1, 1, 5)",0.0003,0.0330
Scenario 1,200,300,"(1, 1, 1, 1)",0.0005,0.0476
Scenario 2,200,300,"(5, 1, 1, 1)",0.0007,0.0494
Scenario 3,200,300,"(1, 5, 1, 1)",0.0004,0.0476
Scenario 4,200,300,"(1, 1, 5, 1)",0.0004,0.0507
Scenario 5,200,300,"(1, 1, 1, 5)",0.0006,0.0506
Scenario 1,200,400,"(1, 1, 1, 1)",0.0007,0.0653
Scenario 2,200,400,"(5, 1, 1, 1)",0.0009,0.0689
Scenario 3,200,400,"(1, 5, 1, 1)",0.0004,0.0621
Scenario 4,200,400,"(1, 1, 5, 1)",0.0005,0.0624
Scenario 5,200,400,"(1, 1, 1, 5)",0.0006,0.0613
Scenario 1,200,500,"(1, 1, 1, 1)",0.0008,0.0820
Scenario 2,200,500,"(5, 1, 1, 1)",0.0012,0.0866
Scenario 3,200,500,"(1, 5, 1, 1)",0.0004,0.0732
Scenario 4,200,500,"(1, 1, 5, 1)",0.0005,0.0776
Scenario 5,200,500,"(1, 1, 1, 5)",0.0011,0.0958
Scenario 1,200,600,"(1, 1, 1, 1)",0.0025,0.1870
Scenario 2,200,600,"(5, 1, 1, 1)",0.0024,0.1591
Scenario 3,200,600,"(1, 5, 1, 1)",0.0008,0.0993
Scenario 4,200,600,"(1, 1, 5, 1)",0.0007,0.0926
